chaos_id,canonical_smiles,molecular_formula
228,Brc1ccc(NC2=NCCC3(CCCCC3)S2)cc1,C15H19BrN2S
229,Brc1ccc(OC2CC3CC2C2C=CCC32)cc1,C16H17BrO
230,Brc1ccc(OC2CCCCO2)cc1,C11H13BrO2
231,Brc1ccc(Oc2ccc(Br)cc2)cc1,C12H8Br2O
232,Brc1ccc(Oc2cccc(Br)c2)cc1,C12H8Br2O
233,Brc1ccc(Oc2ccccc2)c(Br)c1,C12H8Br2O
234,Brc1ccc(Oc2ccccc2)cc1,C12H9BrO
235,Brc1ccc(Oc2ccccc2)cc1Br,C12H8Br2O
236,Brc1ccc(Oc2ccccc2Br)cc1,C12H8Br2O
237,Brc1ccc(P(c2ccccc2)c2ccccc2)cc1,C18H14BrP
238,Brc1ccc(SN2C3CCCCC32)cc1,C12H14BrNS
239,Brc1ccc(SN2CC2)cc1,C8H8BrNS
240,Brc1ccc2[nH]ccc2c1,C8H6BrN
241,Brc1ccc2[nH]nnc2c1,C6H4BrN3
242,Brc1ccc2c(c1)-c1cccc(Br)c1C2,C13H8Br2
243,Brc1ccc2c(c1)C=CCO2,C9H7BrO
244,Brc1ccc2c(c1)CCCO2,C9H9BrO
245,Brc1ccc2c(c1)CCN2,C8H8BrN
246,Brc1ccc2c(c1)Cc1cc(Br)ccc1-2,C13H8Br2
247,Brc1ccc2c(c1)Cc1ccccc1-2,C13H9Br
248,Brc1ccc2c(ccc3ccccc32)c1,C14H9Br
249,Brc1ccc2c3c(cccc13)CC2,C12H9Br
250,Brc1ccc2cc3ccccc3cc2c1,C14H9Br
251,Brc1ccc2ccc(Br)c3c2c1CC3,C12H8Br2
252,Brc1ccc2ccc3c(Br)ccc4ccc1c2c43,C16H8Br2
253,Brc1ccc2ccc3ccc(Br)c4ccc1c2c34,C16H8Br2
254,Brc1ccc2ccc3cccc4ccc1c2c34,C16H9Br
255,Brc1ccc2ccc3ccccc3c2c1,C14H9Br
256,Brc1ccc2ccccc2c1,C10H7Br
257,Brc1ccc2cccnc2c1,C9H6BrN
258,Brc1ccc2ncccc2c1,C9H6BrN
259,Brc1cccc(-c2cccc(Br)c2)c1,C12H8Br2
260,Brc1cccc(-c2ccccc2)c1,C12H9Br
261,Brc1cccc(-c2ccccc2)c1Br,C12H8Br2
262,Brc1cccc(-c2ccccc2Br)c1,C12H8Br2
263,Brc1cccc(Br)c1,C6H4Br2
264,Brc1cccc(Br)c1-c1ccccc1,C12H8Br2
265,Brc1cccc(Br)c1Br,C6H3Br3
266,Brc1cccc(Br)c1Oc1ccccc1,C12H8Br2O
267,Brc1cccc(C#Cc2ccc(OC3CCCCO3)cc2)c1,C19H17BrO2
268,Brc1cccc(I)c1,C6H4BrI
269,Brc1cccc(Oc2ccccc2)c1,C12H9BrO
270,Brc1cccc(Oc2ccccc2Br)c1,C12H8Br2O
271,Brc1cccc2[nH]nnc12,C6H4BrN3
272,Brc1cccc2c1ccc1ccccc12,C14H9Br
273,Brc1cccc2cc3c(Br)cccc3cc12,C14H8Br2
274,Brc1cccc2cccc(Br)c12,C10H6Br2
275,Brc1cccc2ccccc12,C10H7Br
276,Brc1ccccc1,C6H5Br
277,Brc1ccccc1-c1cc[nH]n1,C9H7BrN2
278,Brc1ccccc1-c1ccccc1,C12H9Br
279,Brc1ccccc1-n1ccnc1,C9H7BrN2
280,Brc1ccccc1/C=C\c1cccc2ccccc12,C18H13Br
281,Brc1ccccc1Br,C6H4Br2
282,Brc1ccccc1CCc1ccccc1Br,C14H12Br2
283,Brc1ccccc1I,C6H4BrI
284,Brc1ccccc1OC1CCCCO1,C11H13BrO2
285,Brc1ccccc1Oc1ccccc1,C12H9BrO
286,Brc1ccccn1,C5H4BrN
287,Brc1cccnc1,C5H4BrN
288,Brc1ccco1,C4H3BrO
289,Brc1cccs1,C4H3BrS
290,Brc1ccncc1,C5H4BrN
291,Brc1ccncc1Br,C5H3Br2N
292,Brc1ccoc1,C4H3BrO
293,Brc1ccsc1,C4H3BrS
294,Brc1ccsc1Br,C4H2Br2S
295,Brc1cn[nH]c1,C3H3BrN2
296,Brc1cnc2ccccc2c1,C9H6BrN
297,Brc1cncc(Br)c1,C5H3Br2N
298,Brc1cncc(Br)c1Br,C5H2Br3N
299,Brc1cnccn1,C4H3BrN2
300,Brc1cncnc1,C4H3BrN2
301,Brc1n[nH]c(Br)n1,C2HBr2N3
302,Brc1nc(Br)c(Br)[nH]1,C3HBr3N2
303,Brc1nc(Br)c2nc(Br)[nH]c2n1,C5HBr3N4
304,Brc1ncccn1,C4H3BrN2
305,Brc1nn[nH]c1Br,C2HBr2N3
306,Brc1nnn[nH]1,CHBrN4
307,C,CH4
308,C#C,C2H2
309,C#C/C(=C/C)C(C)(C)C,C9H14
310,C#C/C(=C/C)C(C)(C)CC,C10H16
311,C#C/C(C)=C/C(C)(C)O,C8H12O
312,C#C/C(C)=C/C(C)O,C7H10O
313,C#C/C(C)=C/C=C/C(C)(C)O,C10H14O
314,C#C/C(C)=C/CC,C7H10
315,C#C/C(C)=C/CO,C6H8O
316,C#C/C(C)=C\C,C6H8
